"V1","V2","V3"
11335115,-0.531664212263412,7.89471560475584e-74
22988596,-0.531593579899535,8.31788525142391e-74
18070887,-0.531560873459267,8.52141017696232e-74
22990332,-0.531354064850426,9.92816550665622e-74
20131058,-0.531292253968051,1.03918532323894e-73
15063532,-0.53120866708369,1.10533641064539e-73
32361384,-0.531171454605479,1.13611932936862e-73
28085853,-0.531051321357644,1.24144014221478e-73
16292496,-0.530870287292936,1.4187851613338e-73
13058459,-0.530743437025405,1.55786488746763e-73
11331406,-0.530493283184104,1.87313907439122e-73
18553427,-0.530455327854947,1.92623161825138e-73
18072635,-0.530325386492051,2.119597223276e-73
9313180,-0.53029901873299,2.16113268901376e-73
9092139,-0.530174165536483,2.36907567933292e-73
16291391,-0.529870976229578,2.96070609977757e-73
22991412,-0.529850629316722,3.00530869655142e-73
14573513,-0.529848316875184,3.01041995463098e-73
12270594,-0.529843268260048,3.0216091474666e-73
